x coord, y coord, z coord, scalar
0, 0, 0, 3.999998074
0.1, 0, 0, 3.999997823
0.2, 0, 0, 3.999997617
0.3, 0, 0, 3.999997456
0.4, 0, 0, 3.99999734
0.5, 0, 0, 3.999997269
0.6, 0, 0, 4.000216232
0.7, 0, 0, 4.000242233
0.8, 0, 0, 4.000269449
0.9, 0, 0, 4.000297882
1, 0, 0, 4.00032753
1.1, 0, 0, 4.001489736
1.2, 0, 0, 4.001775509
1.3, 0, 0, 4.002088264
1.4, 0, 0, 4.002428
1.5, 0, 0, 4.002794719
1.6, 0, 0, 4.253522283
1.7, 0, 0, 4.277931328
1.8, 0, 0, 4.303472247
1.9, 0, 0, 4.330145039
2, 0, 0, 4.357949705
2.1, 0, 0, 6.18203397
2.2, 0, 0, 6.300156447
2.3, 0, 0, 6.42153421
2.4, 0, 0, 6.54616726
2.5, 0, 0, 6.674055596
2.6, 0, 0, 9.075439333
2.7, 0, 0, 9.20456039
2.8, 0, 0, 9.334644471
2.9, 0, 0, 9.465691573
3, 0, 0, 9.597701699
3.1, 0, 0, 9.783038712
3.2, 0, 0, 9.796430169
3.3, 0, 0, 9.807379062
3.4, 0, 0, 9.815885392
3.5, 0, 0, 9.821949158
3.6, 0, 0, 9.547846819
3.7, 0, 0, 9.512645319
3.8, 0, 0, 9.475390407
3.9, 0, 0, 9.436082081
4, 0, 0, 9.394720343
4.1, 0, 0, 9.715019747
4.2, 0, 0, 9.695863995
4.3, 0, 0, 9.675996928
4.4, 0, 0, 9.655418546
4.5, 0, 0, 9.634128849
4.6, 0, 0, 9.91183874
4.7, 0, 0, 9.906828341
4.8, 0, 0, 9.901670918
4.9, 0, 0, 9.896366471
5, 0, 0, 9.890915
