x coord, y coord, z coord, scalar
0, 0, 0, 4.85656901
0.1, 0, 0, 4.83786033
0.2, 0, 0, 4.819528571
0.3, 0, 0, 4.801573733
0.4, 0, 0, 4.783995817
0.5, 0, 0, 4.766794821
0.6, 0, 0, 4.33187536
0.7, 0, 0, 4.314204731
0.8, 0, 0, 4.296531062
0.9, 0, 0, 4.278854353
1, 0, 0, 4.261174604
1.1, 0, 0, 3.81966513
1.2, 0, 0, 3.802004491
1.3, 0, 0, 3.784343877
1.4, 0, 0, 3.766683287
1.5, 0, 0, 3.749022721
1.6, 0, 0, 3.307500475
1.7, 0, 0, 3.289839632
1.8, 0, 0, 3.272178788
1.9, 0, 0, 3.254517945
2, 0, 0, 3.236857101
2.1, 0, 0, 2.795336112
2.2, 0, 0, 2.777675271
2.3, 0, 0, 2.760014431
2.4, 0, 0, 2.74235359
2.5, 0, 0, 2.72469275
2.6, 0, 0, 2.283171737
2.7, 0, 0, 2.265510896
2.8, 0, 0, 2.247850056
2.9, 0, 0, 2.230189215
3, 0, 0, 2.212528375
3.1, 0, 0, 1.771007277
3.2, 0, 0, 1.753346431
3.3, 0, 0, 1.735685585
3.4, 0, 0, 1.718024739
3.5, 0, 0, 1.700363893
3.6, 0, 0, 1.258856824
3.7, 0, 0, 1.241196715
3.8, 0, 0, 1.223536624
3.9, 0, 0, 1.205876552
4, 0, 0, 1.188216498
4.1, 0, 0, 0.7444865012
4.2, 0, 0, 0.7267235662
4.3, 0, 0, 0.7089583512
4.4, 0, 0, 0.6911908564
4.5, 0, 0, 0.6734210816
4.6, 0, 0, 0.5724394279
4.7, 0, 0, 0.5688509372
4.8, 0, 0, 0.5655451374
4.9, 0, 0, 0.5625220284
5, 0, 0, 0.5597816102
