x coord, y coord, z coord, scalar
0, 0, 0, 4.991390394
0.01, 0, 0, 4.991227362
0.02, 0, 0, 4.991064375
0.03, 0, 0, 4.990901432
0.04, 0, 0, 4.990738534
0.05, 0, 0, 4.950415182
0.06, 0, 0, 4.950253613
0.07, 0, 0, 4.950092044
0.08, 0, 0, 4.949930476
0.09, 0, 0, 4.949768907
0.1, 0, 0, 4.909367504
0.11, 0, 0, 4.909205935
0.12, 0, 0, 4.909044366
0.13, 0, 0, 4.908882797
0.14, 0, 0, 4.908721228
0.15, 0, 0, 4.868319831
0.16, 0, 0, 4.868158262
0.17, 0, 0, 4.867996693
0.18, 0, 0, 4.867835124
0.19, 0, 0, 4.867673555
0.2, 0, 0, 4.827272158
0.21, 0, 0, 4.827110589
0.22, 0, 0, 4.82694902
0.23, 0, 0, 4.826787451
0.24, 0, 0, 4.826625882
0.25, 0, 0, 4.826464313
0.26, 0, 0, 4.786062917
0.27, 0, 0, 4.785901348
0.28, 0, 0, 4.785739779
0.29, 0, 0, 4.78557821
0.3, 0, 0, 4.745176813
0.31, 0, 0, 4.745015244
0.32, 0, 0, 4.744853675
0.33, 0, 0, 4.744692106
0.34, 0, 0, 4.744530537
0.35, 0, 0, 4.70412914
0.36, 0, 0, 4.703967571
0.37, 0, 0, 4.703806002
0.38, 0, 0, 4.703644433
0.39, 0, 0, 4.703482864
0.4, 0, 0, 4.663081468
0.41, 0, 0, 4.662919899
0.42, 0, 0, 4.66275833
0.43, 0, 0, 4.662596761
0.44, 0, 0, 4.662435192
0.45, 0, 0, 4.662273623
0.46, 0, 0, 4.621872226
0.47, 0, 0, 4.621710657
0.48, 0, 0, 4.621549088
0.49, 0, 0, 4.621387519
0.5, 0, 0, 4.62122595
0.51, 0, 0, 4.580824553
0.52, 0, 0, 4.580662984
0.53, 0, 0, 4.580501415
0.54, 0, 0, 4.580339846
0.55, 0, 0, 4.580178277
0.56, 0, 0, 4.539776881
0.57, 0, 0, 4.539615312
0.58, 0, 0, 4.539453743
0.59, 0, 0, 4.539292174
0.6, 0, 0, 4.498890777
0.61, 0, 0, 4.498729208
0.62, 0, 0, 4.498567639
0.63, 0, 0, 4.49840607
0.64, 0, 0, 4.498244501
0.65, 0, 0, 4.498082932
0.66, 0, 0, 4.457681535
0.67, 0, 0, 4.457519966
0.68, 0, 0, 4.457358397
0.69, 0, 0, 4.457196828
0.7, 0, 0, 4.416795432
0.71, 0, 0, 4.416633863
0.72, 0, 0, 4.416472294
0.73, 0, 0, 4.416310725
0.74, 0, 0, 4.416149156
0.75, 0, 0, 4.415987587
0.76, 0, 0, 4.37558619
0.77, 0, 0, 4.375424621
0.78, 0, 0, 4.375263052
0.79, 0, 0, 4.375101483
0.8, 0, 0, 4.334700086
0.81, 0, 0, 4.334538517
0.82, 0, 0, 4.334376948
0.83, 0, 0, 4.334215379
0.84, 0, 0, 4.33405381
0.85, 0, 0, 4.293652413
0.86, 0, 0, 4.293490844
0.87, 0, 0, 4.293329275
0.88, 0, 0, 4.293167706
0.89, 0, 0, 4.293006137
0.9, 0, 0, 4.292844568
0.91, 0, 0, 4.252443172
0.92, 0, 0, 4.252281603
0.93, 0, 0, 4.252120034
0.94, 0, 0, 4.251958465
0.95, 0, 0, 4.211557068
0.96, 0, 0, 4.211395499
0.97, 0, 0, 4.21123393
0.98, 0, 0, 4.211072361
0.99, 0, 0, 4.210910791
1, 0, 0, 4.210749222
1.01, 0, 0, 4.170347825
1.02, 0, 0, 4.170186256
1.03, 0, 0, 4.170024687
1.04, 0, 0, 4.169863118
1.05, 0, 0, 4.169701549
1.06, 0, 0, 4.129300153
1.07, 0, 0, 4.129138584
1.08, 0, 0, 4.128977015
1.09, 0, 0, 4.128815446
1.1, 0, 0, 4.128653877
1.11, 0, 0, 4.08825248
1.12, 0, 0, 4.088090911
1.13, 0, 0, 4.087929342
1.14, 0, 0, 4.087767773
1.15, 0, 0, 4.047366376
1.16, 0, 0, 4.047204807
1.17, 0, 0, 4.047043238
1.18, 0, 0, 4.046881669
1.19, 0, 0, 4.0467201
1.2, 0, 0, 4.006318704
1.21, 0, 0, 4.006157135
1.22, 0, 0, 4.005995566
1.23, 0, 0, 4.005833997
1.24, 0, 0, 4.005672428
1.25, 0, 0, 3.965271031
1.26, 0, 0, 3.965109462
1.27, 0, 0, 3.964947893
1.28, 0, 0, 3.964786324
1.29, 0, 0, 3.964624755
1.3, 0, 0, 3.964463186
1.31, 0, 0, 3.924061789
1.32, 0, 0, 3.92390022
1.33, 0, 0, 3.923738651
1.34, 0, 0, 3.923577082
1.35, 0, 0, 3.883175686
1.36, 0, 0, 3.883014117
1.37, 0, 0, 3.882852548
1.38, 0, 0, 3.882690979
1.39, 0, 0, 3.88252941
1.4, 0, 0, 3.842128013
1.41, 0, 0, 3.841966444
1.42, 0, 0, 3.841804875
1.43, 0, 0, 3.841643306
1.44, 0, 0, 3.841481737
1.45, 0, 0, 3.80108034
1.46, 0, 0, 3.800918771
1.47, 0, 0, 3.800757202
1.48, 0, 0, 3.800595633
1.49, 0, 0, 3.800434064
1.5, 0, 0, 3.800272495
1.51, 0, 0, 3.759871099
1.52, 0, 0, 3.75970953
1.53, 0, 0, 3.759547961
1.54, 0, 0, 3.759386392
1.55, 0, 0, 3.718984995
1.56, 0, 0, 3.718823426
1.57, 0, 0, 3.718661857
1.58, 0, 0, 3.718500288
1.59, 0, 0, 3.718338719
1.6, 0, 0, 3.71817715
1.61, 0, 0, 3.677775753
1.62, 0, 0, 3.677614184
1.63, 0, 0, 3.677452615
1.64, 0, 0, 3.677291046
1.65, 0, 0, 3.63688965
1.66, 0, 0, 3.636728081
1.67, 0, 0, 3.636566512
1.68, 0, 0, 3.636404943
1.69, 0, 0, 3.636243374
1.7, 0, 0, 3.595841977
1.71, 0, 0, 3.595680408
1.72, 0, 0, 3.595518839
1.73, 0, 0, 3.59535727
1.74, 0, 0, 3.595195701
1.75, 0, 0, 3.595034132
1.76, 0, 0, 3.554632735
1.77, 0, 0, 3.554471166
1.78, 0, 0, 3.554309597
1.79, 0, 0, 3.554148028
1.8, 0, 0, 3.513746632
1.81, 0, 0, 3.513585063
1.82, 0, 0, 3.513423494
1.83, 0, 0, 3.513261925
1.84, 0, 0, 3.513100356
1.85, 0, 0, 3.512938787
1.86, 0, 0, 3.47253739
1.87, 0, 0, 3.472375821
1.88, 0, 0, 3.472214252
1.89, 0, 0, 3.472052683
1.9, 0, 0, 3.431651286
1.91, 0, 0, 3.431489717
1.92, 0, 0, 3.431328148
1.93, 0, 0, 3.431166579
1.94, 0, 0, 3.43100501
1.95, 0, 0, 3.390603614
1.96, 0, 0, 3.390442045
1.97, 0, 0, 3.390280476
1.98, 0, 0, 3.390118907
1.99, 0, 0, 3.389957338
2, 0, 0, 3.349555941
2.01, 0, 0, 3.349394372
2.02, 0, 0, 3.349232803
2.03, 0, 0, 3.349071234
2.04, 0, 0, 3.348909665
2.05, 0, 0, 3.348748096
2.06, 0, 0, 3.308346699
2.07, 0, 0, 3.30818513
2.08, 0, 0, 3.308023561
2.09, 0, 0, 3.307861992
2.1, 0, 0, 3.267460596
2.11, 0, 0, 3.267299027
2.12, 0, 0, 3.267137458
2.13, 0, 0, 3.266975889
2.14, 0, 0, 3.26681432
2.15, 0, 0, 3.226412923
2.16, 0, 0, 3.226251354
